Apple threatens to remove Parler social networking service from App Store,2021-01-08 23:18:49+00:00,0.92,Apple,threatens to remove,Parler social networking service
Apple's new 5G iPhone may see coverage issues in U.K.: Telegraph,2020-10-10 19:25:19+00:00,0.95,Apple's new G iPhone,may see,coverage issues
Apple seeks damages from 'Fortnite' creator in App Store dispute,2020-09-15 21:04:52+00:00,0.92,Apple,seeks,damages
"MacBook, iPad production delayed as supply crunch hits Apple - Nikkei",2021-04-08 07:16:51+00:00,0.94,supply crunch,hits,Apple  Nikkei
Amazon brings macOS to cloud in a boost to Apple app developers,2020-12-01 07:41:38+00:00,0.93,Amazon,brings,macOS
Apple will modify executive bonuses based on environmental values in 2021,2021-01-05 21:51:19+00:00,0.92,Apple,will modify,executive bonuses
"Apple gets boost in French privacy fight, but still faces probe",2021-03-17 09:15:26+00:00,0.95,Apple,faces,probe
"Apple's new Macs could revive the PC chip wars, analysts say",2020-11-09 12:09:02+00:00,0.97,Apple's new Macs could revive the PC chip wars,say,analysts
Chinese online video platforms drop Apple's iPhone event: Bloomberg News,2020-10-13 18:29:20+00:00,0.95,Chinese online video platforms,drop,Apple's iPhone event
Apple argues it faces competition in video game market as 'Fortnite' trial nears,2021-04-08 07:03:10+00:00,0.91,Apple,argues,it faces competition in video game market as 'Fortnite' trial nears
"Apple card, underwriter Goldman Sachs committed no fair lending violations",2021-03-23 13:58:21+00:00,0.97,underwriter Goldman Sachs,committed,no fair lending violations
Apple to argue it faces competition in video game market in Epic lawsuit,2021-04-08 07:01:33+00:00,0.91,Apple,to argue,it faces competition in video game market in Epic lawsuit
"Apple plans to increase dividend, approves executive compensation - CNBC",2021-02-23 18:40:21+00:00,0.92,Apple,plans,to increase dividend
"Epic Games asks court to prevent what it describes as Apple's ""retaliation""",2020-09-05 10:17:30+00:00,0.95,Epic Games,asks,court
Apple to urge crackdown on 'judge-shopping' in West Texas patent case,2020-09-21 20:39:00+00:00,0.96,Apple,to urge,crackdown on 'judgeshopping' in West Texas patent case
Apple enters 5G race with new iPhone 12 range,2020-10-13 11:04:42+00:00,0.92,Apple,enters,G race
"Malala teams up with Apple to produce new dramas, documentaries",2021-03-08 15:12:27+00:00,0.96,Malala,teams up,with Apple
Fortnite says gamers can no longer use Apple sign-in system,2020-09-09 17:52:40+00:00,0.95,Fortnite,says,gamers can no longer use Apple signin system
UK watchdog probing Apple on alleged anti-competitive behaviour,2021-03-04 10:13:18+00:00,0.94,UK watchdog,probing,Apple
Thieves steal £5 million of Apple products in UK truck heist,2020-11-17 11:13:50+00:00,1.0,Thieves,steal,million
Apple adds 'BlastDoor' security feature to fight iMessage hacks,2021-02-18 20:58:56+00:00,0.95,BlastDoor' security feature,to fight,iMessage hacks
Apple Inc spending from 'green bonds' hits $2.8 billion,2021-03-17 07:05:15+00:00,1.0,Apple Inc spending from ' green bonds,hits,$ . billion
Apple launches MacBook laptops powered by its own computing chips,2020-11-10 12:39:44+00:00,0.93,Apple,launches,MacBook laptops
Apple partners with TSMC to develop micro OLED displays for AR devices: Nikkei,2021-02-10 03:25:10+00:00,0.95,Apple partners with TSMC,to develop,micro OLED displays for AR devices
Apple expands 'Express' retail store format ahead of holiday season,2020-10-22 11:05:10+00:00,0.93,Apple,expands ahead,Express' retail store format
Apple critics form coalition to challenge App Store fees,2020-09-24 12:03:03+00:00,0.94,Apple critics,form,coalition
"In China, Apple's 5G iPhone 12 sparks fever-pitch, but divided reaction",2020-10-14 03:59:05+00:00,0.98,Apple 's G iPhone,sparks,fever  pitch
Apple's hardware engineering chief to step down to focus on new project,2021-01-25 23:08:22+00:00,0.94,Apple's hardware engineering chief,to step down,to focus on new project
"Apple invests millions to back entrepreneurs of color, part of racial justice effort",2021-01-13 12:11:03+00:00,0.93,Apple,invests,millions
"Apple removes 39,000 game apps from China store to meet deadline",2020-12-31 08:27:20+00:00,0.91,Apple,removes,game apps
Apple welcomes French watchdog decision not to suspend privacy feature,2021-03-17 09:14:41+00:00,0.95,Apple,welcomes,French watchdog decision not to suspend privacy feature
Short queues in China as Apple's newest iPhone 12 hits stores,2020-10-23 07:13:18+00:00,0.95,newest iPhone,hits,stores
Kia shares rise after report says still scope for Apple partnership,2021-02-26 01:51:06+00:00,0.94,Kia shares rise after report,says still,scope for Apple partnership
"Apple's Tim Cook criticizes social media practices, intensifying Facebook conflict",2021-01-28 18:42:12+00:00,0.93,Apple's Tim Cook,criticizes,social media practices
Apple might delay iOS change vexing mobile ad market - The Information,2020-09-03 16:21:15+00:00,0.9,Apple,might delay,iOS change vexing mobile ad market
U.S. jury tells Apple to pay $308.5 million for patent infringement,2021-03-20 03:47:33+00:00,0.95,U.S. jury,tells,Apple
Apple faces mounting lawsuits over casino-style games,2021-04-07 21:53:06+00:00,0.92,Apple,faces,mounting lawsuits over casinostyle games
Chinese online video platforms drop Apple's iPhone event - Bloomberg News,2020-10-13 18:20:21+00:00,0.95,Chinese online video platforms,drop,Apple's iPhone event  Bloomberg News
Apple suspends Parler social network from its App Store,2021-01-10 01:09:22+00:00,0.88,Apple,suspends,Parler social network
UK court blocks Epic Games from contesting Apple's Fortnite ban,2021-02-22 18:08:42+00:00,0.94,Epic Games,from contesting,Apple's Fortnite ban
Apple temporarily shuts all California stores amid COVID-19 outbreak,2020-12-19 21:34:25+00:00,0.97,Apple,shuts,all California stores
Apple puts Taiwanese supplier Pegatron on probation over student workers,2020-11-09 05:39:34+00:00,0.95,Apple,puts,Taiwanese supplier Pegatron
"Apple, U.S. states reach $113 million settlement on iPhone throttling",2020-11-18 18:01:18+00:00,1.0,U.S. states,reach,$  million settlement
Apple asks judge to reject 'Fortnite' maker's bid to be kept in App Store,2020-08-21 19:00:55+00:00,0.97,Apple,asks,judge
"Apple plans special event for September 15, new products anticipated",2020-09-08 15:34:26+00:00,0.95,Apple,plans,special event
Apple to start enforcing new app privacy notifications in coming weeks,2021-04-07 13:08:18+00:00,0.94,Apple,to start,enforcing new app privacy notifications in coming weeks
UK starts probe on Apple over alleged App Store monopoly,2021-03-04 10:13:31+00:00,0.9,UK,starts,probe
Wistron violence could sour Apple's 'Make In India' plans,2020-12-15 17:45:32+00:00,0.92,Wistron violence,could sour,Apple's 'Make In India' plans
Apple could block apps that don't comply with new privacy feature,2020-12-08 14:32:22+00:00,0.87,Apple,could block,apps that don't comply with new privacy feature
Apple puts supplier Wistron on notice after Indian factory violence,2020-12-19 09:28:08+00:00,0.95,Apple,puts,supplier Wistron
Apple hits back at European activist complaints against tracking tool,2020-11-16 06:09:37+00:00,0.94,Apple,hits,back at European activist complaints against tracking tool
Mobile ad companies form alliance to prepare for Apple privacy changes,2021-02-17 17:05:31+00:00,0.93,Mobile ad companies,form,alliance
Apple supplier Wistron puts India plant damage at up to $7 million,2020-12-15 01:48:06+00:00,0.96,Apple supplier Wistron,puts,India plant damage
Apple shares fall as iPhone sales dip weighs on record quarterly results,2020-10-30 12:43:15+00:00,0.95,Apple shares,fall,as iPhone sales dip weighs on record quarterly results
Elon Musk says had once reached out to Apple for acquiring Tesla,2020-12-22 21:28:51+00:00,0.92,Elon Musk,says,had once reached out to Apple for acquiring Tesla
Apple readies subscription bundles to boost services- Bloomberg News,2020-08-13 10:28:49+00:00,0.93,Apple,readies,subscription bundles
Analysis: Wistron violence could sour Apple's 'Make In India' plans,2020-12-15 17:07:52+00:00,0.92,Wistron violence,could sour,Apple's 'Make In India' plans
Apple partners with TSMC to develop ultra-advanced displays - Nikkei,2021-02-10 03:20:11+00:00,0.94,Apple partners with TSMC,to develop,ultraadvanced displays
Comedian Jon Stewart to return to TV on Apple's streaming service,2020-10-27 21:10:55+00:00,0.94,Comedian Jon Stewart,to return,to TV
Apple shuts some California stores as coronavirus cases spike,2020-12-18 22:45:40+00:00,0.95,Apple,shuts,some California stores
"Verizon, Apple partner to swap out corporate-owned phones for 5G iPhones",2020-11-19 20:00:43+00:00,0.92,Verizon,to swap out,corporateowned phones
"Hyundai Motor, Kia say they are not in talks with Apple on autonomous car development",2021-02-08 00:14:03+00:00,0.9,Kia,say,they are not in talks with Apple on autonomous car development
Apple to hold annual developers event online from June 7,2021-03-30 13:06:49+00:00,0.93,Apple,to hold,annual developers event
EU's Vestager appeals court veto of $15 billion Apple tax order,2020-09-25 09:52:46+00:00,0.94,EU's Vestager,appeals,court veto of $ billion Apple tax order
Apple supplier OFilm tells investors it lost 'particular overseas client',2021-03-16 11:37:25+00:00,0.93,Apple supplier OFilm,tells,investors
South Korea bourse to review Hyundai officials' trades after Apple deal reports,2021-02-17 10:44:44+00:00,0.94,South Korea bourse,to review,Hyundai officials' trades
"Australian watchdog to examine competition between Apple, Google app stores",2020-09-08 02:25:01+00:00,0.92,Australian watchdog,to examine,competition between Apple Google app stores
Judge blocks Apple move to hamper Epic's Unreal Engine,2020-08-24 22:33:19+00:00,0.92,Apple,to hamper,Epic's Unreal Engine
Apple preparing 75 million 5G iPhones for later this year: Bloomberg,2020-09-01 05:48:48+00:00,0.92,Apple,preparing,million G iPhones for later this year
"Apple, ChargePoint team up on electric vehicle charging info",2020-11-17 13:04:54+00:00,0.95,ChargePoint team up on electric vehicle,charging,info
"Apple CEO calls for stricter corporate, government climate goals at U.N. summit",2020-12-12 16:09:20+00:00,0.97,Apple CEO,calls,for stricter corporate government climate goals at U.N. summit
Apple preparing to build 75 mln 5G iPhones later this year- Bloomberg,2020-09-01 05:42:12+00:00,0.9,Apple,preparing to build,mln
Russian lawmaker tries to curb mobile app payouts for Apple and Google,2020-09-01 17:03:03+00:00,0.9,Russian lawmaker,tries to curb,mobile app payouts for Google
Apple to launch first online store in India next week,2020-09-18 03:07:19+00:00,0.93,Apple,to launch,first online store
Exclusive: Foxconn to shift some Apple production to Vietnam to minimise China risk,2020-11-26 09:49:24+00:00,0.93,Foxconn,to shift,some Apple production
Australian watchdog to examine competition between Apple and Google app stores,2020-09-08 02:21:51+00:00,0.95,Australian watchdog,to examine,competition between Apple and Google app stores
Apple owes retail workers for time spent in security screenings- 9th Circuit,2020-09-02 20:40:36+00:00,0.92,time,spent,in security screenings
Apple-Epic row being closely watched by German antitrust chief,2020-09-02 11:23:46+00:00,0.94,AppleEpic row,being closely watched,by German antitrust chief
"EU antitrust regulators to investigate Apple's App Store, Apple Pay",2020-06-16 09:46:36+00:00,0.94,EU antitrust regulators,to investigate,Apple's App Store
Apple commits to freedom of information and expression in human rights policy,2020-09-04 07:21:06+00:00,0.92,Apple,commits,to freedom of expression
Ireland welcomes annulling of EU Apple tax order,2020-07-15 09:37:35+00:00,0.93,Ireland,welcomes,annulling of EU Apple tax order
News publishers seek more favorable terms in Apple's app store- WSJ,2020-08-20 19:10:35+00:00,0.92,News publishers,seek,more favorable terms in Apple's app store WSJ
French watchdog rejects requests to suspend Apple’s App Tracking Transparency feature,2021-03-17 09:09:37+00:00,0.95,French watchdog,rejects,requests to suspend Apple's App Tracking Transparency feature
Apple's Tim Cook joins chorus of critics against Georgia's voting restrictions,2021-04-01 14:09:03+00:00,0.95,Apple's Tim Cook,joins,chorus of critics
"Apple to delay privacy change threatening Facebook, mobile ad market",2020-09-03 16:27:13+00:00,0.96,Apple,to delay,privacy change threatening Facebook mobile ad market
Apple's famous '1984' video parodied by Fortnite game maker,2020-08-13 22:24:00+00:00,0.95,Apple's famous '' video,parodied,by Fortnite game maker
Facebook warns advertisers on changes due to upcoming Apple OS,2020-08-26 16:53:29+00:00,0.97,Facebook,warns,advertisers
Epic Games says will keep in-app payment feature on Apple devices,2020-08-26 15:28:17+00:00,0.92,Epic Games,says,will keep inapp payment feature on Apple devices
"Facebook bashes Apple for refusing to waive commission fees, seizing on backlash",2020-08-14 19:31:39+00:00,0.91,Facebook,bashes,Apple
Favorable ad search terms for Apple considered in deal with Amazon: documents,2020-07-30 01:34:22+00:00,0.96,Favorable ad search terms for Apple,considered,in deal with Amazon
"Facebook, Microsoft gripes with Apple's App Store on EU's antitrust radar",2020-08-10 18:36:25+00:00,0.96,Microsoft,gripes,with Apple's App Store on EU's antitrust radar
Russian watchdog says Apple abused mobile app market dominance,2020-08-10 16:11:35+00:00,0.9,Apple,abused,mobile app market dominance
Apple readies subscription bundles to boost services: Bloomberg News,2020-08-13 10:59:08+00:00,0.93,Apple,readies,subscription bundles
News publishers push back against Apple over app store terms,2020-08-20 19:17:36+00:00,0.92,News publishers,push back,against Apple
"RPT-New season of ""Fortnite"" is here, Apple users miss out",2020-08-27 13:00:07+00:00,0.87,RPTNew season of Fortnite,is,here
"New season of 'Fortnite' is here, Apple users miss out",2020-08-27 12:49:12+00:00,0.84,New season of 'Fortnite,is,here
"Martin Scorsese joins Apple's Hollywood roster for new films, TV shows",2020-08-11 17:48:14+00:00,0.94,Martin Scorsese,joins,Apple's Hollywood roster
Plaintiffs' lawyers in Apple throttling case seek $87.73 mln fee award,2020-08-27 21:16:44+00:00,1.0,Plaintiffs ' lawyers in Apple throttling case,seek,$ . mln fee award
Judge 'inclined' to block Apple's move to hamper Epic's Unreal Engine,2020-08-24 22:25:49+00:00,0.89,Judge,inclined,to block Apple's move
Apple tops Saudi Aramco as most valuable publicly listed company,2020-07-31 15:12:16+00:00,0.95,Apple,tops,Saudi Aramco
"Epic Games wins support from 'Fortnite' gamers, firms on Apple standoff",2020-08-14 14:52:32+00:00,0.95,Epic Games,wins,support
Apple to cut off Epic Games from its development tools,2020-08-17 19:24:12+00:00,0.88,Apple,to cut off,Epic Games
"Epic Games wins support from Fortnite gamers, firms on Apple standoff",2020-08-14 14:42:33+00:00,0.95,Epic Games,wins,support
"Apple rolls out virtual fitness service, subscription bundle, catering to pandemic work-from-home",2020-09-15 20:46:08+00:00,0.9,Apple,rolls out,virtual fitness service
Chinese artificial intelligence company files $1.4 billion lawsuit against Apple,2020-08-03 09:39:20+00:00,1.0,Chinese artificial intelligence company,files,$ . billion lawsuit
MEDIA-Apple and Netflix discussed acquiring ‘Bond’ movie for streaming - Bloomberg News,2020-10-23 23:38:40+00:00,0.95,Netflix,discussed,acquiring ' Bond ' movie for streaming  Bloomberg News
Apple faces consumer protection probe by multiple U.S. states - Axios,2020-07-23 18:04:23+00:00,0.93,Apple,faces,consumer protection probe
"Apple fails to overturn VirnetX patent verdict, could owe over $1.1 billion",2021-01-15 18:25:44+00:00,0.93,Apple,fails,to overturn VirnetX patent verdict
California appeals court rejects Apple TV consumer class action,2020-07-23 20:10:03+00:00,0.94,California appeals court,rejects,Apple TV consumer class action
"Google to stop using Apple tool to track iPhone users, avoiding new pop-up warning",2021-01-27 15:00:43+00:00,0.93,Google,to stop,using Apple tool to track iPhone users
UPDATE 1-Apple to build battery-based solar energy storage project in California,2021-04-01 03:13:25+00:00,0.94,Apple,to build,batterybased solar energy storage project
Exclusive: Apple targets car production by 2024 and eyes 'next level' battery technology - sources,2020-12-21 20:41:18+00:00,0.92,Apple,targets,eyes ' next level ' battery technology  sources
New York Times ends partnership with Apple News,2020-06-29 19:29:20+00:00,0.96,New York Times,ends,partnership with Apple News
"Apple to remove carbon from supply chain, products by 2030",2020-07-21 12:05:50+00:00,0.92,Apple,to remove,carbon
Facebook events service gets temporary exemption from Apple App Store fees: blog post,2020-09-25 16:09:30+00:00,0.94,Facebook events service,gets,temporary exemption
Exclusive: EU's Vestager warns Apple to treat all apps equally amid privacy dispute,2021-02-08 19:00:48+00:00,0.97,EU's Vestager,warns,Apple
Exclusive: U.S. app maker Blix in letter to EU's Vestager says Apple not playing fair,2020-09-21 09:38:04+00:00,0.93,U.S. app maker Blix in letter to EU's Vestager,says,Apple not playing fair
"Italy opens antitrust probe into Amazon, Apple over sale of Beats headphones",2020-07-22 10:12:13+00:00,0.93,Italy,opens,antitrust probe
"Apple, Hyundai to agree on electric car tie-up early this year -Korea IT News",2021-01-10 12:14:44+00:00,0.93,Apple Hyundai,to agree,on electric car tieup
Apple ends Barclays credit-card partnership ahead of new devices: Bloomberg News,2020-09-15 15:53:52+00:00,0.95,Apple,ends,Barclays creditcard partnership
Apple removes thousands of game apps from China store: research firm,2020-08-01 08:00:55+00:00,0.93,Apple,removes,thousands of game apps
"EXCLUSIVE-Apple targets car production by 2024 and eyes ""next level"" battery technology - sources",2020-12-21 20:36:36+00:00,0.88,EXCLUSIVE  Apple,targets,car production
"Apple lowers App Store fees for small developers, critics see little impact",2020-11-18 11:18:57+00:00,0.92,Apple,lowers,App Store fees for small developers
"U.S. judge urges Apple, Epic Games to put antitrust claims before jury",2020-09-28 19:12:45+00:00,0.94,Apple Epic Games,to put,antitrust claims
Apple briefly overtakes Saudi Aramco to become the world's largest company,2020-07-31 15:06:24+00:00,0.95,Apple,overtakes,Saudi Aramco
Apple temporarily closes 17 out of 20 French stores amid fresh lockdown,2020-10-30 00:32:12+00:00,1.0,Apple,closes,out of  french stores
Fortnite creator Epic Games says gamers can use Apple sign-in system,2020-09-10 22:26:41+00:00,0.94,Fortnite creator Epic Games,says,gamers can use Apple signin system
"Shares of Sonos, Logitech fall after Apple removes their speakers from its stores",2020-10-06 13:11:05+00:00,0.86,Apple,removes,their speakers
"Apple expands news offerings with audio, local newspaper stories",2020-07-15 17:16:14+00:00,0.92,Apple,expands,news offerings
Apple offers modified phones to security researchers looking for iOS weaknesses,2020-07-22 17:52:39+00:00,0.9,Apple,offers,modified phones
Nasal swab firm ships 15 million kits after Apple lends hand,2021-02-22 10:37:00+00:00,0.94,Apple,lends,hand
"Apple sales beat driven by Macs and Watches, CEO 'optimistic' about 5G iPhone sales",2020-10-29 20:30:08+00:00,0.94,Apple sales,beat driven,by Watches  CEO
Apple launches $549 new AirPods Max to boost holiday sales; delivery times face delays,2020-12-08 13:46:18+00:00,0.92,new AirPods Max,to boost,holiday sales
Apple must face shareholder lawsuit over CEO Cook's China sales comments,2020-11-05 17:29:43+00:00,0.93,Apple,must face,shareholder lawsuit over CEO Cook's China sales comments
"Apple, Hyundai set to agree electric car tie-up, says Korea IT News",2021-01-10 12:31:17+00:00,0.96,Apple Hyundai set to agree electric car tieup,says,Korea IT News
"Apple revises App Store guidelines, loosening some in-app payment rules",2020-09-15 21:13:33+00:00,0.91,Apple,revises,App Store guidelines
Hyundai says in early talks with Apple after electric vehicle tie-up report,2021-01-08 00:29:44+00:00,0.96,Hyundai,says,in early talks with Apple after electric vehicle tieup report
IN BRIEF: Judge offers mixed ruling in class action over Apple’s iCloud storage,2020-11-19 01:46:52+00:00,0.98,Judge,offers,mixed ruling in class action over Apple's iCloud storage
"Apple envisioned its fitness service long before work-from-home, executives say",2020-09-17 14:27:59+00:00,0.88,Apple envisioned its fitness service long before workfromhome,say,executives
U.S. judge rules Apple could bar Epic Games's 'Fortnite' from App Store,2020-10-09 23:25:06+00:00,0.93,Apple,could bar,Epic Games's 'Fortnite' from App Store
Apple's late iPhone launch temporarily wiped $100 billion off its stock value,2020-10-29 20:34:16+00:00,1.0,Apple 's late iPhone launch,wiped,$  billion
"Apple tops Wall Street expectations on record iPhone revenue, China sales surge",2021-01-27 21:31:06+00:00,0.95,Apple,tops,Wall Street expectations on record iPhone revenue
"CORRECTED-UPDATE 1-Hyundai Motor, Kia say they are not in talks with Apple on autonomous car development",2021-02-08 00:33:13+00:00,0.9,Kia,say,they are not in talks with Apple on autonomous car development
Gilstrap denies Apple bid to delay jury trial due to COVID-19,2020-07-22 01:42:16+00:00,0.93,Gilstrap,denies,Apple bid
REFILE-Apple temporarily closes 17 out of 20 French stores amid fresh lockdown measures,2020-10-29 23:10:15+00:00,1.0,REFILE Apple,closes,out of  french stores
Federal judge dismisses some claims by Apple in fight against Epic Games - Bloomberg News,2020-11-11 08:06:37+00:00,0.92,Federal judge,dismisses,some claims by Apple
Apple iPhone 12 mini sales slow as smaller smartphones lose appeal - report,2021-02-09 13:16:09+00:00,0.9,smaller smartphones,lose,appeal  report
Apple welcomes court ruling against EU tax order,2020-07-15 09:32:37+00:00,0.93,Apple,welcomes,court ruling against EU tax order
"Developer complains to EU over Apple, Google app rules after COVID game rejected",2021-01-22 14:24:48+00:00,0.94,Developer,complains,to EU
"Wall Street expects near-record iPhone sales despite delay, shut Apple stores",2021-01-27 12:06:30+00:00,0.96,Wall Street,expects,nearrecord iPhone sales despite delay shut Apple stores
"Apple expands independent repair shop program to Europe, Canada",2020-07-08 12:04:02+00:00,0.93,Apple,expands,independent repair shop program
"Apple Korea, under antitrust probe, proposes $84 million to support small businesses",2020-08-24 03:15:05+00:00,0.95,Apple Korea,proposes,$ million to support small businesses
Apple aims to make 30% more iPhones in first half of 2021 - Nikkei,2020-12-15 05:24:26+00:00,0.95,Apple,aims,to make  more iPhones in first half of   Nikkei
S.Korea's Kia says looking at electric car projects with multiple firms after Apple report,2021-01-20 01:47:05+00:00,0.96,S.Korea's Kia,says looking,at electric car projects with multiple firms after Apple report
"Apple sees revenue growth accelerating after setting record for iPhone sales, China strength",2021-01-27 21:33:39+00:00,0.91,Apple,sees,revenue growth
EU claims court errors in bid to overturn $15.7 billion Apple tax judgment,2021-02-01 09:55:38+00:00,0.9,EU,claims,court errors
Epic Games steps up Apple fight with EU antitrust complaint,2021-02-17 07:08:18+00:00,0.94,Epic Games,steps up,Apple fight with EU antitrust complaint
Breakingviews - Europe’s latest Apple bite is close to the core,2020-06-16 15:08:49+00:00,0.96,Breakingviews  Europe's latest Apple bite,is,close to the core
Class counsel in Apple ‘throttling’ case beat multifront attack to land $81 million in fees,2021-03-18 20:49:47+00:00,0.96,Class counsel in Apple 'throttling' case,beat,multifront attack
EU claims court errors in bid to overturn $15.7 bln Apple tax judgment,2021-02-01 09:48:51+00:00,0.9,EU,claims,court errors
Apple to host developers event online again as COVID-19 cases surge,2021-03-30 13:39:17+00:00,0.92,Apple,to host,developers event
REFILE-Microsoft says Apple's move against 'Fortnite' creator would hurt its games,2020-08-23 15:55:10+00:00,0.91,Apple's move against 'Fortnite' creator,would hurt,its games
